borrower_id,profile_type,month,income,expenses,loan_installment,dti,loan_balance,repaid_on_time
B0001,structural_decline,0,30446.0,16465.0,4877.0,0.199,113311.0,1
B0001,structural_decline,1,30233.0,16563.0,4877.0,0.199,113311.0,1
B0001,structural_decline,2,30509.0,17024.0,4877.0,0.199,113311.0,1
B0001,structural_decline,3,30390.0,17427.0,4877.0,0.199,113311.0,1
B0001,structural_decline,4,30701.0,17153.0,4877.0,0.199,113311.0,1
B0001,structural_decline,5,31389.0,16745.0,4877.0,0.199,113311.0,1
B0001,structural_decline,6,30918.0,16258.0,4877.0,0.199,113311.0,1
B0001,structural_decline,7,30483.0,17020.0,4877.0,0.199,113311.0,1
B0001,structural_decline,8,30233.0,17626.0,4877.0,0.199,113311.0,1
B0001,structural_decline,9,30086.0,17773.0,4877.0,0.199,113311.0,1
B0001,structural_decline,10,30719.0,17692.0,4877.0,0.199,113311.0,1
B0001,structural_decline,11,30952.0,17414.0,4877.0,0.199,113311.0,1
B0001,structural_decline,12,30682.0,17468.0,4877.0,0.199,113311.0,1
B0001,structural_decline,13,30846.0,17720.0,4877.0,0.199,113311.0,1
B0001,structural_decline,14,30256.0,17192.0,4877.0,0.199,113311.0,1
B0001,structural_decline,15,29639.0,16642.0,4877.0,0.199,113311.0,1
B0001,structural_decline,16,29780.0,17286.0,4877.0,0.199,113311.0,1
B0001,structural_decline,17,29856.0,17170.0,4877.0,0.199,113311.0,1
B0001,structural_decline,18,30166.0,17789.0,4877.0,0.199,113311.0,1
B0001,structural_decline,19,30377.0,18033.0,4877.0,0.199,113311.0,1
B0001,structural_decline,20,29625.0,17703.0,4877.0,0.199,113311.0,1
B0001,structural_decline,21,29332.0,17714.0,4877.0,0.199,113311.0,1
B0001,structural_decline,22,28988.0,17684.0,4877.0,0.199,113311.0,1
B0001,structural_decline,23,28293.0,16877.0,4877.0,0.199,113311.0,1
B0001,structural_decline,24,27838.0,16993.0,4877.0,0.199,113311.0,1
B0001,structural_decline,25,27797.0,17003.0,4877.0,0.199,113311.0,1
B0001,structural_decline,26,22008.0,16934.0,4877.0,0.199,113311.0,1
B0001,structural_decline,27,21397.0,17566.0,4877.0,0.199,113311.0,0
B0001,structural_decline,28,20989.0,17006.0,4877.0,0.199,113311.0,0
B0001,structural_decline,29,26123.0,16799.0,4877.0,0.199,113311.0,1
B0001,structural_decline,30,25846.0,17276.0,4877.0,0.199,113311.0,1
B0001,structural_decline,31,25303.0,17526.0,4877.0,0.199,113311.0,1
B0001,structural_decline,32,24929.0,17082.0,4877.0,0.199,113311.0,1
B0001,structural_decline,33,24540.0,17072.0,4877.0,0.199,113311.0,1
B0001,structural_decline,34,24050.0,17291.0,4877.0,0.199,113311.0,1
B0001,structural_decline,35,23865.0,16768.0,4877.0,0.199,113311.0,1
B0002,structural_decline,0,65422.0,35457.0,10345.0,0.239,269465.0,1
B0002,structural_decline,1,65506.0,35249.0,10345.0,0.239,269465.0,1
B0002,structural_decline,2,66120.0,34734.0,10345.0,0.239,269465.0,1
B0002,structural_decline,3,66172.0,35772.0,10345.0,0.239,269465.0,1
B0002,structural_decline,4,66510.0,35461.0,10345.0,0.239,269465.0,1
B0002,structural_decline,5,66402.0,34328.0,10345.0,0.239,269465.0,1
B0002,structural_decline,6,64535.0,34316.0,10345.0,0.239,269465.0,1
B0002,structural_decline,7,63618.0,33644.0,10345.0,0.239,269465.0,1
